"REF_DATE","GEO","DGUID","Farm products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-08","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","181.10","","","","2"
"2006-09","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","171.82","","","","2"
"2006-10","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","182.06","","","","2"
"2006-11","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","170.64","","","","2"
"2006-12","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","180.08","","","","2"
"2007-01","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","187.83","","","","2"
"2007-02","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","191.16","","","","2"
"2007-03","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","189.95","","","","2"
"2007-04","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","189.87","","","","2"
"2007-05","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","187.03","","","","2"
"2007-06","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","188.25","","","","2"
"2007-07","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","195.20","","","","2"
"2007-08","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","231.20","","","","2"
"2007-09","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","253.07","","","","2"
"2007-10","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","252.04","","","","2"
"2007-11","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","218.86","","","","2"
"2007-12","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","244.51","","","","2"
"2008-01","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","286.27","","","","2"
"2008-02","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","292.25","","","","2"
"2008-03","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","296.85","","","","2"
"2008-04","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","303.95","","","","2"
"2008-05","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","299.18","","","","2"
"2008-06","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","303.09","","","","2"
"2008-07","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","316.46","","","","2"
"2008-08","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","218.00","","","","2"
"2008-09","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","226.27","","","","2"
"2008-10","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","246.71","","","","2"
"2008-11","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","257.57","","","","2"
"2008-12","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","276.04","","","","2"
"2009-01","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","259.53","","","","2"
"2009-02","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","240.65","","","","2"
"2009-03","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","226.11","","","","2"
"2009-04","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","224.93","","","","2"
"2009-05","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","230.60","","","","2"
"2009-06","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","224.79","","","","2"
"2009-07","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","206.59","","","","2"
"2009-08","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","154.94","","","","2"
"2009-09","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","160.17","","","","2"
"2009-10","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","150.72","","","","2"
"2009-11","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","157.50","","","","2"
"2009-12","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","189.83","","","","2"
"2010-01","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","128.83","","","","2"
"2010-02","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","122.71","","","","2"
"2010-03","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","127.51","","","","2"
"2010-04","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","133.56","","","","2"
"2010-05","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","146.56","","","","2"
"2010-06","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","131.14","","","","2"
"2010-07","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","144.43","","","","2"
"2010-08","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","121.43","","","","2"
"2010-09","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","117.76","","","","2"
"2010-10","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","145.78","","","","2"
"2010-11","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","135.47","","","","2"
"2010-12","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","148.66","","","","2"
"2011-01","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","150.88","","","","2"
"2011-02","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","173.00","","","","2"
"2011-03","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","170.58","","","","2"
"2011-04","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","216.58","","","","2"
"2011-05","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","202.26","","","","2"
"2011-06","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","180.18","","","","2"
"2011-07","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","182.82","","","","2"
"2011-08","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","239.03","","","","2"
"2011-09","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","239.90","","","","2"
"2011-10","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","248.31","","","","2"
"2011-11","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","265.64","","","","2"
"2011-12","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","228.11","","","","2"
"2012-01","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","244.46","","","","2"
"2012-02","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","225.88","","","","2"
"2012-03","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","235.19","","","","2"
"2012-04","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","250.39","","","","2"
"2012-05","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","245.26","","","","2"
"2012-06","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","246.41","","","","2"
"2012-07","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","278.24","","","","2"
"2012-08","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","308.18","","","","2"
"2012-09","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","315.04","","","","2"
"2012-10","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","315.89","","","","2"
"2012-11","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","312.90","","","","2"
"2012-12","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","319.95","","","","2"
"2013-01","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","315.02","","","","2"
"2013-02","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","310.39","","","","2"
"2013-03","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","301.60","","","","2"
"2013-04","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","294.37","","","","2"
"2013-05","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","279.19","","","","2"
"2013-06","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","292.97","","","","2"
"2013-07","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","285.05","","","","2"
"2013-08","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","246.36","","","","2"
"2013-09","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","242.23","","","","2"
"2013-10","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","229.06","","","","2"
"2013-11","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","234.36","","","","2"
"2013-12","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","234.15","","","","2"
"2014-01","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","231.21","","","","2"
"2014-02","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","233.35","","","","2"
"2014-03","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","247.97","","","","2"
"2014-04","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","266.58","","","","2"
"2014-05","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","259.31","","","","2"
"2014-06","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","265.02","","","","2"
"2014-07","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","266.76","","","","2"
"2014-08","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","248.04","","","","2"
"2014-09","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","239.53","","","","2"
"2014-10","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","241.75","","","","2"
"2014-11","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","248.72","","","","2"
"2014-12","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","265.99","","","","2"
"2015-01","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","275.79","","","","2"
"2015-02","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","273.05","","","","2"
"2015-03","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","269.13","","","","2"
"2015-04","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","270.63","","","","2"
"2015-05","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","265.88","","","","2"
"2015-06","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","272.12","","","","2"
"2015-07","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","255.89","","","","2"
"2015-08","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","252.76","","","","2"
"2015-09","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","245.75","","","","2"
"2015-10","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","239.85","","","","2"
"2015-11","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","244.19","","","","2"
"2015-12","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","246.50","","","","2"
"2016-01","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","245.37","","","","2"
"2016-02","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","248.20","","","","2"
"2016-03","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","242.89","","","","2"
"2016-04","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","235.59","","","","2"
"2016-05","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","236.38","","","","2"
"2016-06","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","235.20","","","","2"
"2016-07","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","239.10","","","","2"
"2016-08","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","224.35","","","","2"
"2016-09","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","217.25","","","","2"
"2016-10","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","213.12","","","","2"
"2016-11","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","218.49","","","","2"
"2016-12","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","228.83","","","","2"
"2017-01","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","230.01","","","","2"
"2017-02","Quebec","2016A000224","Wheat (except durum wheat) [1121111]","Dollars per metric tonne","117","units","0","v31212116","5.3","232.69","","","","2"
