,Date_ID,Total_Value_Binned_Encoded,Month,NumberOfDaysInMonth,Quarter,Year,LeapYear,Minimum Temperature,Maximum Temperature,Barley,Canola,Durum,Flaxseed,Oats,Rye,Wheat,Avena sativa,Brassica napus,Hordeum,Linum usitatissimum,Secale,Triticum,Brassicaceae,Grass,Linaceae,Mean_Temp_Binned_Encoded,Min_Temp_Binned_Encoded,Max_Temp_Binned_Encoded,Mean_Diff_from_Normal_Binned_Encoded,Snowfall_Binned_Encoded,Percent_of_Normal_Snowfall_Binned_Encoded,Total_Precip_Binned_Encoded,Percent_of_Normal_Precip_Binned_Encoded,Snow_on_Ground_Binned_Encoded,Days_with_Precip_Binned_Encoded,Heating_Degree_Days_Binned_Encoded,Cooling_Degree_Days_Binned_Encoded,Mean_Temp_Rolling_Average_Binned_Encoded,Min_Temp_Rolling_Average_Binned_Encoded,Max_Temp_Rolling_Average_Binned_Encoded,Mean_Diff_from_Normal_Rolling_Average_Binned_Encoded,Snowfall_Rolling_Average_Binned_Encoded,Percent_of_Normal_Snowfall_Rolling_Average_Binned_Encoded,Total_Precip_Rolling_Average_Binned_Encoded,Percent_of_Normal_Precip_Rolling_Average_Binned_Encoded,Snow_on_Ground_Rolling_Average_Binned_Encoded,Days_with_Precip_Rolling_Average_Binned_Encoded,Heating_Degree_Days_Rolling_Average_Binned_Encoded,Cooling_Degree_Days_Rolling_Average_Binned_Encoded,Area_Binned_Encoded,Land_Binned_Encoded,LandOfArea_Percent_Binned_Encoded,Freshwater_Binned_Encoded,FreshwaterOfArea_Percent_Binned_Encoded,Alberta,Atlantic,British Columbia,Canada,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prairies,Prince Edward Island,Quebec,Saskatchewan,Territories,Yukon,Atlantic_Region,British Columbia_Region,Canada_Region,Prairies_Region,Territories_Region
42,42,1,7,31,3,2004,1,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,38,38,31,17,0,0,39,32,0,37,2,19,37,38,36,15,4,0,39,27,0,38,3,23,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
43,43,1,8,31,3,2004,1,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,35,34,27,13,0,0,36,25,0,35,5,16,33,33,30,5,5,0,39,38,1,40,8,18,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
44,44,1,9,30,3,2004,1,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,29,29,24,22,0,0,31,14,0,14,11,8,28,29,24,19,12,10,26,24,2,17,12,12,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
45,45,1,10,31,4,2004,1,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,22,22,21,23,5,1,24,6,1,23,18,2,21,22,23,16,19,20,20,19,10,29,20,4,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
46,46,1,11,30,4,2004,1,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,14,15,11,16,18,8,31,15,6,34,27,0,16,17,13,37,21,9,21,0,14,15,25,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
47,47,1,12,31,4,2004,1,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,5,5,7,4,32,23,36,32,22,40,36,0,5,4,8,12,39,33,36,40,26,40,38,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
48,48,1,1,31,1,2005,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,2,3,9,5,26,11,15,5,22,26,39,0,0,0,7,3,36,24,25,24,28,31,40,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
49,49,1,2,28,1,2005,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,6,7,5,29,29,17,17,13,25,25,33,0,7,8,9,30,27,18,1,7,29,1,31,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
50,50,1,3,31,1,2005,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,9,9,12,9,31,23,22,17,23,26,31,0,12,12,13,16,32,27,11,24,22,24,29,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
51,51,1,4,30,2,2005,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,19,21,19,25,12,8,39,39,7,37,21,0,21,23,22,32,17,15,21,22,11,9,19,3,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
52,52,1,5,31,2,2005,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,24,24,24,7,4,1,19,5,0,31,16,5,25,24,26,12,11,6,18,12,6,31,15,8,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
53,53,1,6,30,2,2005,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,37,34,37,34,0,2,36,26,0,29,6,20,33,34,33,24,9,4,40,39,1,40,8,21,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
54,54,1,7,31,3,2005,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,39,38,37,25,0,0,32,16,0,30,2,21,39,38,37,20,1,0,35,17,0,36,3,25,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
55,55,1,8,31,3,2005,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,38,35,33,27,0,0,38,30,0,34,3,19,35,35,36,14,7,0,37,31,0,33,6,22,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
56,56,1,9,30,3,2005,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,31,30,29,31,0,0,38,33,0,30,10,12,28,29,27,24,8,3,34,29,0,18,11,14,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
57,57,1,10,31,4,2005,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,23,23,24,32,11,20,39,36,3,35,17,7,22,24,20,30,15,11,36,22,6,28,18,9,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
58,58,1,11,30,4,2005,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,15,13,15,22,26,22,37,31,5,39,26,0,15,15,14,34,29,27,33,32,14,36,25,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
59,59,1,12,31,4,2005,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,6,8,3,14,32,24,31,24,25,39,35,0,8,8,4,33,37,20,19,10,21,33,35,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
60,60,1,1,31,1,2006,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,7,9,6,40,31,19,36,36,26,40,34,0,10,12,6,40,35,17,38,29,27,39,32,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
61,61,1,2,28,1,2006,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,4,7,3,20,30,18,27,31,26,33,34,0,4,4,3,14,35,28,8,33,31,15,34,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
62,62,1,3,31,1,2006,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,11,10,16,31,22,8,15,6,18,22,30,0,13,12,13,16,26,25,7,22,22,10,29,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
63,63,1,4,30,2,2006,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,20,20,20,29,14,13,28,24,5,31,20,0,22,22,22,36,15,9,10,23,11,12,18,2,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
64,64,1,5,31,2,2006,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,27,26,29,29,4,1,38,35,0,39,13,10,27,26,31,28,12,6,33,29,8,39,14,13,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
65,65,1,6,30,2,2006,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,35,36,36,27,1,2,37,27,0,36,5,16,34,36,36,29,1,1,31,11,0,34,5,19,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
66,66,1,7,31,3,2006,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,40,40,36,29,0,0,37,26,0,36,0,21,40,40,40,31,2,0,27,7,0,25,0,26,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
67,67,1,8,31,3,2006,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,34,33,32,9,0,0,35,22,0,25,7,16,36,36,36,17,0,0,15,3,0,7,4,21,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
68,68,1,9,30,3,2006,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,28,28,24,13,0,1,36,28,0,36,12,6,28,29,29,20,11,8,33,34,0,30,11,11,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
69,69,1,10,31,4,2006,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,21,23,19,14,10,14,40,38,6,39,19,0,20,21,20,7,20,30,35,35,15,31,21,3,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
70,70,1,11,30,4,2006,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,17,19,17,36,11,4,31,17,4,37,23,0,13,12,13,8,31,33,40,38,22,38,27,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
71,71,1,12,31,4,2006,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,10,11,6,38,29,12,26,17,15,37,31,0,10,10,5,39,31,16,25,14,25,28,31,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
72,72,1,1,31,1,2007,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,4,5,7,33,29,13,24,16,19,35,37,0,4,2,7,35,34,18,23,10,29,29,38,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
73,73,1,2,28,1,2007,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,2,6,1,2,30,18,16,9,25,22,37,0,1,3,0,1,37,33,8,35,33,26,37,0,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
74,74,1,3,31,1,2007,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,9,4,11,9,31,25,29,30,16,34,32,0,13,8,14,25,29,24,26,34,21,28,28,1,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
75,75,1,4,30,2,2007,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,18,17,22,10,30,30,34,33,7,36,23,3,19,17,20,10,23,31,15,20,12,16,21,3,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
76,76,1,5,31,2,2007,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,25,25,32,18,7,10,23,11,0,19,15,11,26,26,28,20,13,8,25,26,9,21,14,11,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
77,77,1,6,30,2,2007,0,5,29,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,34,31,35,24,1,2,32,16,0,29,7,17,32,32,32,19,8,4,39,26,6,38,8,18,4,4,0,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
