Long,Lat,Stn_Name,Clim_ID,Prov_or_Ter,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD
-123.477,48.82,SALTSPRING IS CUSHEON LK,1016992,BC,3.2,1,0.4,9,0,-2.5,1,0,0,0,116.2,0,71,0,13,,,NA,444.5,0
-123.546,48.888,SALTSPRING ST MARY'S L,1016995,BC,5,1,0.7,10,1,-2,0,0,0,0,115.3,0,71,0,13,,,NA,389.9,0
-123.427,48.598,SAANICHTON MT NEWTON,1016RM0,BC,,,NA,,,,,0,0,0,102,0,65,0,13,,,NA,,
-123.114,48.772,SATURNA CAPMON,1017098,BC,5.1,0,0.8,11,0,-1.5,0,0,0,0,92.6,0,72,0,12,,,NA,399.9,0
-123.045,48.784,SATURNA ISLAND CS,1017101,BC,7.3,2,NA,13,2,2.4,0,,,NA,71,0,NA,,13,,,NA,309.9,0
-123.627,48.647,SHAWNIGAN LAKE,1017230,BC,4,0,0.6,10.5,0,-2,0,0,0,0,137.2,0,64,0,15,,,NA,434.3,0
-123.921,48.377,SHERINGHAM POINT,1017254,BC,7.8,0,NA,15.3,0,1.9,0,,,NA,124.6,0,NA,,13,,,NA,316.3,0
-123.64,48.576,SOOKE LAKE NORTH,1017563,BC,,,NA,,,,,0,0,0,157,0,61,0,14,,,NA,,
-123.305,48.457,VICTORIA UNIVERSITY CS,1018598,BC,6.4,0,NA,11.5,0,-0.5,0,,,NA,63.8,0,NA,,12,,,NA,359.2,0
-123.443,48.476,VICTORIA FRANCIS PARK,1018605,BC,,,NA,,,,,0,0,0,103.2,0,58,0,13,,,NA,,
-123.325,48.413,VICTORIA GONZALES HTS,1018610,BC,6.5,0,NA,12.7,0,1.2,0,,,NA,80.8,0,NA,,12,,,NA,356.7,0
-123.325,48.413,VICTORIA GONZALES CS,1018611,BC,6.5,0,NA,12.7,0,1.2,0,,,NA,80.2,0,NA,,12,,,NA,356.9,0
-123.508,48.509,VICTORIA HIGHLAND,1018616,BC,4,1,1,10.5,1,-3,0,0,0,0,117,0,60,0,12,,,NA,419.1,0
-123.406,48.484,VICTORIA HOLLAND 2,1018617,BC,,,NA,,,,,0,0,NA,93,0,NA,0,13,,,NA,,
-123.426,48.647,VICTORIA INT'L A,1018620,BC,5.4,0,0.9,12.1,0,-1.8,0,0,0,0,101.2,0,71,0,13,69,0,97,390.6,0
-123.532,48.34,WILLIAM HEAD,1018935,BC,6.9,1,1.2,11,1,2,0,0,0,0,112.4,0,73,0,17,,,NA,331.8,0
-123.459,48.534,VICTORIA HARTLAND CS,1018FJ5,BC,6.4,1,NA,12.4,0,0,1,,,NA,99.4,0,NA,,14,,,NA,348.6,0
-123.267,48.455,VICTORIA PHYLLIS STREET,101HFEE,BC,6.9,1,NA,11,1,2,0,0,0,NA,87.1,0,NA,0,12,,,NA,332.9,0
-124.16,49.35,BALLENAS ISLAND,1020590,BC,,,NA,,,,,,,NA,73.6,0,NA,,11,,,NA,,
-125.133,49.846,BLACK CREEK,1020880,BC,3.9,1,1.1,11,0,-3.5,1,0,0,0,120.6,0,52,0,14,,,NA,423.5,0
-125.273,49.952,CAMPBELL RIVER A,1021261,BC,3.5,0,1.1,10.2,0,-4.8,0,0,0,0,84.6,0,39,0,13,,,NA,449.5,0
-125.208,49.945,CAMPBELL RIVER SURFSIDE,1021266,BC,,,NA,,,,,0,0,0,77,0,39,0,13,,,NA,,
-125.195,49.998,CAPE MUDGE,1021330,BC,5.2,0,1.2,11.7,0,-0.4,0,0,0,0,93.7,0,41,0,16,,,NA,395.4,0
-125.433,50.333,CHATHAM POINT,1021480,BC,5.5,0,1.4,9,0,0.6,0,0,0,0,153.4,0,52,0,19,,,NA,388.2,0
-124.9,49.717,COMOX A,1021830,BC,4.7,0,0.9,11.6,0,-1.8,0,0,0,0,92.4,0,54,0,14,53.3,0,92,410.9,0
-125.033,49.686,COMOX PCC,1021838,BC,5,10,NA,11,3,-1.5,10,0,0,NA,106.7,0,NA,0,14,,,NA,273.3,0
-124.429,49.306,COOMBS,1021850,BC,3.9,0,1,9,0,-3,0,0,0,0,109.4,0,62,0,20,,,NA,438.6,0
-124.949,50.071,CORTES ISLAND TIBER BAY,1021960,BC,4.2,0,NA,10.5,0,-3.5,0,1.2,0,NA,81.3,0,NA,0,14,,,NA,428,0
-124.999,49.763,COURTENAY GRANTHAM,1021988,BC,4.2,0,NA,10.5,0,-1.5,0,0,0,NA,115.4,0,NA,0,13,,,NA,426.9,0
-125.033,49.686,COURTENAY PUNTLEDGE,1021989,BC,4.1,6,NA,11,3,-3,3,0,0,NA,121.3,0,NA,0,11,,,NA,347.8,0
-123.765,48.756,DUNCAN GLENORA,1022571,BC,3.5,0,NA,10,0,-2.5,0,0,0,NA,152.4,0,NA,0,15,,,NA,449.2,0
-123.811,49.209,ENTRANCE ISLAND,1022689,BC,6.4,1,NA,11.9,0,1.8,1,,,NA,69.2,3,NA,,11,,,NA,348.3,0
-125.993,50.454,FANNY ISLAND,1022795,BC,5.3,0,NA,9.7,0,1.1,0,,,NA,79.2,7,NA,,10,,,NA,392.4,0
-123.734,49.154,GABRIOLA ISLAND,1023042,BC,4.5,1,0.6,10.5,1,-3,0,0,0,0,104.5,0,71,0,15,,,NA,404.8,0
-125.203,50.099,HERIOT BAY SE,1023462,BC,4.6,0,NA,9.5,0,-2,0,0,0,NA,107,0,NA,0,15,,,NA,416.3,0
-124.512,49.353,LITTLE QUALICUM HATCHERY,1024638,BC,4.2,0,1,12,0,-3.5,0,0,0,0,97.5,0,58,0,13,,,NA,427.3,0
-124.794,49.471,MUD BAY,1025240,BC,4.4,0,1,13.5,0,-2.5,0,0,0,0,147.5,0,55,0,13,,,NA,421,0
-125.605,49.576,MYRA CREEK,1025254,BC,1.3,21,NA,9,13,-4,14,3,0,NA,233,0,NA,,15,,,NA,167.1,0
-123.87,49.052,NANAIMO A,1025370,BC,4.4,0,0.8,12,0,-4,0,0,0,0,120.9,0,64,0,14,64.5,0,114,422.9,0
-124.177,49.252,NANOOSE BAY SOUTH,1025377,BC,,,NA,,,,,0,0,0,106,0,57,0,11,,,NA,,
-123.988,49.199,NANAIMO CITY YARD,10253G0,BC,,,NA,,,,,0,0,0,113.8,0,61,0,13,,,NA,,
-125.133,49.883,OYSTER RIVER UBC,1025915,BC,4.2,1,0.9,10.5,1,-3,0,0,0,0,95.6,0,49,0,13,,,NA,413,0
-127.728,50.976,PINE ISLAND,1026170,BC,6.7,2,1.2,11,2,2,0,0,0,0,172,0,63,0,19,,,NA,326.7,0
-127.366,50.68,PORT HARDY A,1026270,BC,4.8,0,0.6,11,0,-2.1,0,0.2,0,2,159.8,0,65,0,18,64.9,0,126,408.5,0
-124.617,49.394,QUALICUM R FISH RESEARCH,1026565,BC,4.7,0,0.8,11,0,-1,0,0,0,0,132.7,0,63,0,17,,,NA,412.5,0
-125.304,50.016,QUINSAM RIVER HATCHERY,1026639,BC,3.7,0,0.9,10,0,-3.5,0,0,0,0,98,0,42,0,15,,,NA,442.1,0
-125.93,50.325,SAYWARD 2,1027114,BC,,,NA,,,,,0,0,NA,138.6,0,NA,0,15,,,NA,,
-124.435,49.487,SISTERS ISLAND,1027403,BC,6.8,0,NA,12.2,0,3,0,,,NA,,,NA,,,,,NA,347.4,0
-123.8,49.217,ENTRANCE ISLAND,102BFHH,BC,6.2,0,NA,12,0,2,0,0,0,NA,90,0,NA,0,12,,,NA,366.6,0
-124.977,49.717,COURTENAY MEADOWBROOK,102JR88,BC,3.9,0,0.9,10.5,0,-3,0,0,0,0,113.6,0,49,0,13,,,NA,438.5,0
-123.799,49.091,STUART CHANNEL BOAT HARBOUR,102PG75,BC,4.9,1,NA,11.5,1,-1.5,0,0,0,NA,107.8,0,NA,0,11,,,NA,393.2,0
-124.982,49.337,ALBERNI ROBERTSON CREEK,1030230,BC,2.6,1,0.7,8,0,-2,1,0,0,0,194,0,57,0,15,,,NA,460.8,0
-125.216,48.786,CAPE BEALE LIGHT,1031316,BC,6.5,0,0.6,14,0,0,0,0,0,0,286.1,0,67,0,18,,,NA,356.7,0
-128.427,50.782,CAPE SCOTT,1031353,BC,6.6,0,0.9,14.5,0,1,0,1.8,0,29,268.8,0,83,0,21,,,NA,353.3,0
-124.751,48.612,CARMANAH POINT,1031402,BC,,,NA,,,,,0,0,0,286.3,0,66,0,18,,,NA,,
-126.417,49.8,CONUMA RIVER HATCHERY,1031844,BC,,,NA,,,,,7,0,53,325.6,0,62,0,17,,,NA,,
-126.551,49.384,ESTEVAN POINT,1032730,BC,6.5,0,0.5,14,0,-0.5,0,0,0,0,308.8,0,68,0,19,0,0,0,358,0
-126.545,49.383,ESTEVAN POINT CS,1032731,BC,,,NA,,,1.5,2,,,NA,306,0,NA,,19,,,NA,,
-126.048,49.783,GOLD RIVER TOWNSITE,1033232,BC,2.8,0,0.7,9.5,0,-5,0,0.4,0,1,254.8,0,60,0,18,,,NA,471.9,0
-125.142,49.133,HENDERSON LAKE HATCHERY,1033456,BC,3.9,1,NA,12,0,-2,1,0,0,NA,659,0,NA,0,21,,,NA,423.2,0
-125.923,49.111,LENNARD ISLAND,1034600,BC,,,NA,,,,,0,0,0,330.1,0,72,0,21,,,NA,,
-124.655,48.859,NITINAT RIVER HATCHERY,1035612,BC,4.3,1,0.3,11,1,-3,1,0,0,0,302.1,0,51,0,18,,,NA,412.2,0
-126.617,49.6,NOOTKA LIGHTSTATION,1035614,BC,6.3,0,0.7,15,0,1,0,0,0,0,345.2,0,73,0,22,,,NA,363.4,0
-125.097,48.723,PACHENA POINT,1035940,BC,5.4,0,-0.3,15,0,-4,0,0,0,0,290.4,0,70,0,19,,,NA,391.1,0
-124.756,49.201,PORT ALBERNI COX LAKE,1036208,BC,3.2,0,0.3,10,0,-2.5,0,1.5,0,6,231.1,0,63,0,17,,,NA,460.2,0
-127.453,50.386,PORT ALICE,1036240,BC,5.5,0,0.6,15.5,0,-1,0,0,0,0,363.4,0,74,0,17,,,NA,388.1,0
-127.653,50.534,QUATSINO,1036570,BC,5,0,0.6,13,0,-1.5,0,0,0,0,242.4,0,69,0,16,,,NA,403,0
-128.033,50.441,QUATSINO LIGHTSTATION,1036572,BC,6.8,0,0.8,15.2,0,1,0,1.6,0,72,201.4,0,58,0,18,,,NA,347.3,0
-124.927,49.317,PORT ALBERNI (AUT),1036B06,BC,2.6,3,NA,8.6,3,-1.8,2,,,NA,152.2,3,NA,,13,,,NA,430.1,0
-128.908,50.821,SARTINE ISLAND (AUT),1037090,BC,6.7,3,NA,11.4,3,0,2,,,NA,201,4,NA,,18,,,NA,315.6,0
-127.94,50.112,SOLANDER ISLAND (AUT),1037553,BC,6.8,3,NA,11.6,3,1.1,2,,,NA,274.2,4,NA,,14,,,NA,314.8,0
-126.65,49.933,TAHSIS VILLAGE NORTH,1037899,BC,4.9,11,NA,14,3,-2.5,9,14,0,217,428.2,0,67,,17,,,NA,261.4,0
-125.773,49.082,TOFINO A,1038205,BC,5.8,0,0.4,15.7,0,-2.3,0,0,0,0,310.8,0,64,0,18,67.1,0,115,378.8,0
-125.527,48.945,UCLUELET KENNEDY CAMP,1038332,BC,6.3,0,0.8,16.5,0,-2,0,0,0,0,341.7,0,68,0,18,,,NA,362.5,0
-124.833,48.667,NITINAT LAKE (AUT),103EFJ0,BC,5.8,8,NA,11.5,7,-0.4,5,,,NA,123.4,12,NA,,9,,,NA,279.7,0
-123.421,49.366,BOWEN ISLAND BOWEN BAY,104090R,BC,,,NA,,,,,0,0,NA,155.8,0,NA,0,14,,,NA,,
-123.402,49.36,BOWEN ISLAND SUNSET PARK,104091B,BC,,,NA,,,,,0,0,NA,162,0,NA,0,15,,,NA,,
-123.328,49.392,BOWEN ISLAND MILLERS LDG,1040R09,BC,4.6,17,NA,8.5,15,0,16,0,0,NA,85.8,14,NA,0,9,,,NA,188.1,0
-123.433,49.443,GAMBIER HARBOUR,1043048,BC,,,NA,,,,,0,0,0,192.5,0,77,0,16,,,NA,,
-123.514,49.397,GIBSONS,1043150,BC,5.7,0,1.3,12,0,0,0,0,0,0,125.3,0,68,0,15,,,NA,381.8,0
-123.541,49.386,GIBSONS GOWER POINT,1043152,BC,5.8,0,1.1,12,0,0,0,0,0,0,127.8,0,68,0,16,,,NA,379.4,0
-124.318,49.795,LOIS RIVER DAM,1044710,BC,,,NA,,,,,1,0,9,136.6,0,68,0,16,,,NA,,
-123.853,50.165,MALIBU JERVIS INLET,1044840,BC,4.3,2,1.2,8.5,2,0,0,3.6,0,15,202.4,0,63,,19,,,NA,396.4,0
-123.913,49.468,MERRY ISLAND LIGHTSTATION,1045100,BC,6.1,0,0.8,10.5,0,1.3,0,0,0,0,95.3,0,70,0,12,55.9,0,103,368.1,0
-123.299,49.488,HOWE SOUND - PAM ROCKS,10459NN,BC,6.3,2,NA,11.7,0,1.8,2,,,NA,62.4,6,NA,,10,,,NA,340.5,0
-124.554,49.876,POWELL RIVER,1046390,BC,5.2,5,0.6,12,2,-0.5,3,0,0,0,93.8,0,68,0,15,,,NA,332.7,0
-124.5,49.834,POWELL RIVER A,1046391,BC,4.3,0,0.7,10.6,0,-3,0,1,0,7,99.2,0,62,0,14,45.4,0,106,425,0
-123.806,49.474,SECHELT 5WEST,1047179,BC,3.5,9,NA,9.5,9,-2.5,8,0,0,NA,67.6,9,NA,0,7,,,NA,319.4,0
-123.16,49.698,SQUAMISH STP CENTRAL,1047671,BC,3.4,0,0.7,11,0,-4,0,0,0,0,223.1,0,68,0,15,,,NA,452.8,0
-123.281,49.896,SQUAMISH UPPER,1047672,BC,1.4,0,0.8,6.5,0,-6,0,9.4,0,14,231.8,0,65,16,16,,,NA,515.3,0
-123.161,49.783,SQUAMISH AIRPORT,10476F0,BC,2.6,0,NA,9.4,0,-4.3,0,,,NA,283,0,NA,,18,,,NA,478.4,0
-124.317,49.767,STILLWATER POWER HOUSE,1047770,BC,,,NA,,,,,0,0,0,122.3,0,63,0,17,,,NA,,
-122.955,50.129,WHISTLER,1048898,BC,-0.6,0,1.6,6,0,-10.4,0,76,0,74,126.6,0,72,76,15,31.5,0,78,575.4,0
-123.889,49.581,WOODFIBRE,1048974,BC,4,13,NA,10,9,-2,11,0,0,0,305.6,0,72,0,15,,,NA,251.6,0
-131.016,51.936,CAPE ST JAMES CS,1051351,BC,6.9,0,NA,11.3,0,0.6,0,,,NA,,,NA,,,,,NA,345.5,0
-132.772,53.316,KINDAKUN ROCKS (AUT),1054222,BC,6.6,2,NA,12.7,2,0.5,1,,,NA,0,3,NA,,0,,,NA,329.4,0
-133.058,54.255,LANGARA,1054500,BC,,,,12.6,0,,,22.6,0,114,272.8,0,133,,29,,,NA,,
-133.058,54.255,LANGARA ISLAND RCS,1054503,BC,6,1,NA,12.6,1,-0.4,0,,,NA,272.2,0,NA,,27,,,NA,359.6,0
-132.129,52.935,MORESBY ISLAND MITCHELL INLET,10551R8,BC,5.7,0,NA,12,0,-3,0,0,0,NA,######,0,NA,0,27,,,NA,380.3,0
-131.661,54.159,ROSE SPIT (AUT),1056869,BC,5.7,1,NA,9.4,1,0.5,1,,,NA,0,2,NA,,0,,,NA,370.4,0
-131.813,53.254,SANDSPIT A,1057050,BC,5.3,0,1.3,12.1,0,-2.8,0,5,0,39,264.6,0,139,0,22,,,NA,394.4,0
-132.299,53.764,SEWALL MASSET INLET,105PA91,BC,5.4,17,NA,9,15,-0.5,16,0,3,NA,73,15,NA,0,13,,,NA,176.7,0
-127.864,51.604,ADDENBROKE ISLAND,1060080,BC,5.9,1,1.2,16,0,-1.9,1,9.3,0,72,238.3,0,59,0,19,,,NA,363.8,0
-126.685,52.371,BELLA COOLA,1060840,BC,1.3,1,1.4,8,1,-6,0,27.1,0,74,159.7,0,72,1,17,,,NA,501,0
-126.596,52.388,BELLA COOLA A,1060841,BC,1.4,0,1.2,9.6,0,-7.7,0,19.6,0,65,102.6,0,65,1,16,14.9,0,89,514,0
-128.524,52.643,BOAT BLUFF,1060901,BC,4.9,0,1.3,16.5,0,-0.5,0,0,0,0,475.6,0,79,0,23,,,NA,407.4,0
-130.638,53.493,BONILLA ISLAND,1060902,BC,6,1,1,12.2,1,0.8,0,0,0,0,380.4,0,160,0,24,,,NA,360.2,0
-130.639,53.493,BONILLA ISLAND (AUT),1060R0K,BC,6.5,3,NA,12.9,3,1.8,2,,,NA,124.4,4,NA,,21,,,NA,321.5,0
-127.471,52.187,CATHEDRAL POINT (AUT),1061458,BC,4,0,NA,9.7,0,0.1,0,,,NA,236,1,NA,,16,,,NA,433.4,0
-131.602,53.03,CUMSHEWA ISLAND,1062251,BC,6.6,0,NA,11.9,0,0.3,0,,,NA,,,NA,,,,,NA,351.9,0
-128.112,52.185,DRYAD POINT,1062544,BC,5.5,1,1.3,16,1,-0.5,0,23,0,215,255,0,91,0,21,,,NA,374.3,0
-127.835,51.247,EGG ISLAND,1062646,BC,6.1,0,1.2,14.4,0,0.2,0,5,0,72,232.9,0,74,0,18,,,NA,367.5,0
-130.708,54.569,GREEN ISLAND,1063298,BC,5.3,0,2,11.5,0,1,0,0,0,0,335.5,0,126,0,24,,,NA,395.2,0
-130.698,54.58,GREY ISLET (AUT),1063303,BC,5.4,0,NA,12.8,0,1.5,0,,,NA,,,NA,,,,,NA,389.7,0
-127.632,50.94,HERBERT ISLAND (AUT),1063461,BC,6.1,0,NA,10.9,0,1.5,0,,,NA,94.8,1,NA,,16,,,NA,367.5,0
-130.361,54.172,HOLLAND ROCK,1063496,BC,6.4,0,NA,14.1,0,1,0,,,NA,155,1,NA,,19,,,NA,358.5,0
-128.407,52.27,IVORY ISLAND,1063690,BC,5.7,0,1.3,14.3,0,0.7,0,12.2,0,74,245.3,0,82,0,22,,,NA,381.7,0
-127.943,53.563,KEMANO,1064020,BC,0.7,1,2.2,5,1,-5,0,19,0,32,302.4,0,121,9,20,,,NA,519.3,0
-128.634,54.054,KITIMAT TOWNSITE,1064320,BC,1.1,0,2.8,7,0,-5,0,35.5,0,38,327.3,0,113,18,21,33.8,0,70,524.2,0
-128.705,54.01,KITIMAT 2,1064321,BC,1.3,1,2.2,7,0,-4,1,12.9,0,15,427.6,0,109,,20,,,NA,500.7,0
-128.641,54.065,KITIMAT 3,1064322,BC,,,NA,,,,,73,0,64,322,0,100,31,18,,,NA,,
-130.609,54.296,LUCY ISLAND LIGHTSTATION,1064728,BC,4.6,20,NA,13.5,20,-1.5,1,,,NA,,,NA,,,,,NA,147,0
-128.719,52.262,MCINNES ISLAND,1065010,BC,6.1,0,1.4,13.5,0,1.7,0,0,0,0,283.7,0,93,0,23,,,NA,368.5,0
-130.445,54.293,PRINCE RUPERT A,1066481,BC,4.4,0,2,13.1,0,-5,0,4,0,16,301.7,0,109,0,21,18.5,0,46,420.6,0
-130.29,54.32,PRINCE RUPERT MONT CIRC,1066488,BC,,,NA,,,,,2,0,8,348.2,0,106,0,19,,,NA,,
-129.985,55.936,STEWART A,1067742,BC,-0.3,0,2.7,4.9,0,-8.5,0,157.7,0,97,284,0,119,100,21,12.4,0,48,566.7,0
-126.067,52.368,STUIE TWEEDSMUIR LODGE,1067776,BC,0.7,0,2.6,8,0,-7,0,15.8,0,45,57.6,0,58,26,10,,,NA,534.9,0
-128.578,54.466,TERRACE A,1068130,BC,-0.2,0,2.9,8,0,-5.5,0,58.6,0,66,182.5,0,105,24,18,25.9,0,55,563.3,0
-128.625,54.502,TERRACE PCC,1068131,BC,1.3,0,3.3,7,0,-4,0,24,0,53,128.3,0,95,5,17,,,NA,517.9,0
-130.88,54.295,TRIPLE ISLAND,1068250,BC,5.8,6,NA,13.6,0,1.6,6,0,0,NA,141.4,0,NA,0,21,,,NA,304.5,0
-128.682,54.044,KITIMAT HATCHERY,106D289,BC,0.8,0,NA,6,0,-5,0,23,0,NA,319.3,0,NA,22,20,,,NA,534.2,0
-125.46,54.446,BABINE LAKE PINKUT CREEK,1070573,BC,-3.2,0,4.1,5.5,0,-13,0,28.5,0,73,31.6,0,72,20,10,37.7,0,93,657.5,0
-126.277,54.199,EQUITY SILVER,1072692,BC,-6.6,0,1.8,3,0,-20,0,57.4,0,91,62.4,0,96,,14,,,NA,762.2,0
-126.668,54.396,HOUSTON,1073615,BC,-5.2,1,NA,7,0,-19.5,1,37.4,0,NA,39.4,0,NA,31,10,,,NA,695.9,0
-127.834,55.491,MURDER CREEK 2,1075252,BC,-4,2,NA,5,1,-16,1,32.5,0,NA,33.7,0,NA,,11,,,NA,639.3,0
-129.029,55.238,NASS CAMP,1075384,BC,-1.7,0,3.9,10,0,-13,0,56.8,0,66,105.6,0,77,66,17,8.8,0,32,609.3,0
-127.183,54.825,SMITHERS A,1077500,BC,-4.5,0,2.8,6.9,0,-17,0,36.4,0,82,34.6,0,81,33,7,42.5,0,100,696.2,0
-126.163,54.816,TOPLEY LANDING,1078209,BC,-4.9,0,3.7,4.5,0,-18.5,0,49.5,0,100,52.5,0,97,36,12,33.3,0,74,708.7,0
-130.446,56.653,UNUK RIVER ESKAY CREEK,1078L3D,BC,-4.9,0,NA,1,0,-13,0,307,0,NA,307,0,NA,202,24,,,NA,709.7,0
-127.171,55.289,SUSKWA VALLEY,107G879,BC,-3,0,3.4,6.5,0,-15,0,28.3,0,61,35.9,0,59,36,13,,,NA,651.4,0
-124.99,51.978,KLEENA KLEENE 2,1084351,BC,-7.1,2,1.6,7,2,-22,0,8.5,0,36,11.9,0,39,13,4,,,NA,728.2,0
-124.467,51.824,LUNCH LAKE,1084731,BC,-5,0,2.8,12,0,-19.5,0,3,0,14,9.4,0,33,6,3,,,NA,713.5,0
-124.833,53.683,NECHAKO RIVER (AUT),1085415,BC,-7.4,0,NA,4.9,0,-21.5,0,,,NA,28,1,NA,,16,,,NA,786.3,0
-125.997,53.772,OOTSA L SKINS L SPILLWAY,1085835,BC,-5.4,0,2.4,5,0,-16.5,0,19,0,60,19,0,52,26,7,47.7,0,NA,724.9,0
-122.734,50.306,PEMBERTON AIRPORT CS,1086082,BC,-1,2,NA,3.1,0,-7,2,,,NA,,,NA,,,,,NA,552,0
-122.955,52.992,PUNTCHESAKUT LAKE,1086550,BC,-5.9,13,2.2,6.5,8,-21,10,36,0,95,36,0,86,47,6,,,NA,430.2,0
-124.136,52.114,PUNTZI MOUNTAIN (AUT),1086558,BC,-8.7,1,NA,6.2,1,-23.6,0,,,NA,3.2,0,NA,,1,,,NA,799.5,0
-125.87,53.873,TAKYSIE LAKE,1087974,BC,-5,0,4.1,5,0,-16.5,0,27,0,65,27.8,0,57,31,10,,,NA,714.2,0
-124.405,51.675,TATLAYOKO LAKE,1088010,BC,-2.8,1,2.9,12,1,-16,0,7,0,35,28,0,70,0,4,,,NA,622.8,0
-126.214,53.825,WISTARIA,1088970,BC,-4.5,0,3.4,6,0,-14,0,18.2,0,56,18.2,0,47,28,6,,,NA,698.6,0
-121.515,53.069,BARKERVILLE,1090660,BC,-4.5,1,3,10,1,-19,0,82.8,0,94,83.6,0,87,79,13,,,NA,675.3,0
-125.959,54.383,BURNS LAKE DECKER LAKE,1091174,BC,-7.7,0,NA,6.5,0,-27.2,0,,,NA,,,NA,,,,,NA,796.2,0
-120.7,53.6,CRESCENT SPUR,1092120,BC,-1.4,1,NA,7.5,0,-15.5,1,16.6,0,NA,21.2,0,NA,13,9,,,NA,582.9,0
-124.33,54.425,FORT ST JAMES,1092970,BC,-6.6,0,2.9,6.5,0,-21,0,24.4,0,56,27.2,0,57,39,11,,,NA,761.7,0
-122.699,53.532,HIXON,1093474,BC,-3,0,3.7,7.5,0,-18.5,0,44.8,0,86,50,0,78,,11,,,NA,651.1,0
-121.364,52.363,HORSEFLY LAKE GRUHS LAKE,1093600,BC,-3.1,1,3.9,9,1,-18,0,19.2,0,42,19.9,0,36,40,5,,,NA,632.9,0
-122.413,52.814,KERSLEY 2,1094127,BC,-5,1,NA,9.5,0,-19.5,1,28.3,0,NA,28.3,0,NA,31,7,,,NA,689.6,0
-120.353,53.423,MCBRIDE ELDER CREEK,1094948,BC,-2.6,0,NA,5.5,0,-16,0,9,0,NA,11,0,NA,,4,72.1,0,NA,639.6,0
-122.374,52.38,MCLEESE LAKE FRASERVIEW,1095015,BC,-2.6,3,3.6,9.5,2,-13.5,1,17.2,0,63,17.4,0,51,14,4,,,NA,576.3,0
